SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
NC(=O)c1ccc(Oc2ccc(CNCCC3CCOCC3)cc2F)nc1	373.428	3.0182	8	5	2	157.431	-3.501	1.258	90.847	-3.103	Yes	Yes	No	0.579	0.307	-0.801	-3.012	No	Yes	No	No	No	No	Yes	1.02	No	No	0.232	No	Yes	2.653	1.41	Yes	No	0.429	0.096
O=P(O)(O)[C@@H](CCCc1cccc(Oc2ccccc2)c1)S(=O)(=O)O	386.362	3.1932	8	4	3	145.742	-2.925	0.897	32.053	-2.735	No	No	No	-1.913	0.11	-1.665	-3.234	No	No	No	No	No	No	No	-0.221	No	No	0.649	No	No	2.201	3.509	No	No	0.285	2.547
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.379	2.87958	5	5	2	162.864	-4.312	1.354	73.91	-2.74	Yes	Yes	No	-0.816	0.04	-0.847	-2.64	No	Yes	No	Yes	No	No	Yes	0.587	No	Yes	0.461	No	No	2.495	2.118	Yes	No	0.302	0.047
CC(C)(CC1Cc2ccccc2C1)NC[C@@H](O)COc1cc(CCC(=O)O)cc(F)c1F	447.522	3.895	11	4	3	186.971	-3.544	1.274	88.689	-2.734	Yes	No	Yes	-0.005	0.146	-0.918	-3.104	No	Yes	No	No	No	No	No	0.78	No	No	0.032	No	No	2.864	2.712	Yes	No	0.285	2.116
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@H]3C[C@@H](O)CC(=O)N3Cc3ccc4c(CO)c(OC)ccc4c3)[C@H]21	603.8	6.3352	10	6	2	261.468	-5.917	0.913	88.589	-2.744	Yes	Yes	Yes	0.416	0	-1.093	-2.625	No	Yes	No	Yes	Yes	No	Yes	0.356	No	No	-0.489	No	Yes	3.643	-0.132	Yes	No	0.288	-0.738
CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1)CCOP(=O)(O)O	587.549	3.6169	15	9	5	234.9	-3.466	0.441	51.005	-2.735	Yes	Yes	Yes	0.763	0.057	-2.185	-4.345	No	Yes	No	No	No	No	Yes	0.72	No	No	0.74	No	Yes	2.784	3.339	Yes	No	0.285	3.891
O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O	458.473	3.5604	11	5	4	184.199	-4.365	0.746	57.544	-2.709	Yes	No	No	-0.898	0.1	-1.35	-3.29	No	Yes	No	No	No	No	No	1.15	No	No	-1.571	No	No	3.867	2.708	No	No	0.334	1.356
CCOC(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1cccc(Cl)c1)CC2	403.906	3.4624	8	5	2	170.168	-3.696	1.141	91.255	-2.972	Yes	Yes	Yes	0.686	0.216	-0.241	-2.532	No	Yes	No	No	No	Yes	No	1.266	No	No	-0.152	No	Yes	2.829	0.734	Yes	No	0.376	-1.059
CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1	444.471	5.05342	11	5	1	176.689	-5.379	0.548	89.041	-2.734	No	No	No	-0.641	0	-0.027	-2.58	No	Yes	No	No	No	No	No	0.091	No	No	0.534	No	No	2.433	1.422	No	No	0.305	-0.549
C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	389.333	3.21726	5	5	2	157.944	-4.329	1.146	77.801	-2.957	Yes	Yes	Yes	-0.633	0	-0.332	-2.42	No	Yes	No	No	No	No	Yes	0.562	No	No	0.058	No	No	2.229	1.463	Yes	No	0.413	0.373
