Ligand,Best_Affinity_(kcal/mol)
149_Isopentyl_Pyrophosphate,-5.614
169_beta_D_glucose_6_phosphate,-5.591
341_N_Methyl_Pyridoxal_5__Phosphate,-5.574
16__R__2__FORMYLOXY__3__PHOSPHONOOXY_PROPYL_PENTANOATE,-5.554
22_N_Hexylphosphonate_Ethyl_Ester,-5.523
177_beta_D_arabinofuranose_5_phosphate,-5.523
188_2_OXOHEPTYLPHOSPHONIC_ACID,-5.519
172_alpha_D_mannose_6_phosphate,-5.515
191_Glucosamine_6_Phosphate,-5.512
24_1_O_Octyl_2_Heptylphosphonyl_Sn_Glycero_3_Phosphoethanolamine,-5.509
80_Phosphatidyl_ethanol,-5.507
155_D_Glycero_D_Mannopyranose_7_Phosphate,-5.507
219_Alpha_D_Glucose_1_6_Bisphosphate,-5.501
63_1_2_Di_1__3_7_11_15_Tetramethyl_Hexadecane__Sn_Glycero_3_Phosphate,-5.498
339_Malonyl_CoA,-5.498
111_2_5_Anhydroglucitol_1_6_Biphosphate,-5.488
10_1_Monohexanoyl_2_Hydroxy_Sn_Glycero_3_Phosphate,-5.484
151__1Z__2_HYDROXY_3_OXOHEX_1_EN_1_YL_DIHYDROGEN_PHOSPHATE,-5.449
184_4_Methyl_5_Hydroxyethylthiazole_Phosphate,-5.427
445_Acetoacetyl_CoA,-5.417
364_2_KETO_6_PHOSPHATE_D_GLUCONIC_ACID__ALPHA_FURANOSE_FORM,-5.393
88_1_6_Fructose_Diphosphate__Linear_Form_,-5.37
171_beta_D_Ribose_5_phosphate,-5.369
394__1R_2R_3S_4R_6S__3_4_6_Trihydroxy_5____S__hydroxy_3_hydroxy_2_oxopropoxy_phosphoryl_oxy__1_2_cyclohexanediyl_bis_dihydrogen__phosphate__,-5.357
174_beta_D_galactose_6_phosphate,-5.347
412_Glucosamine_4_Phosphate,-5.335
62____2_2_Dihydroxy_Ethyl___2_3_4_5_Tetrahydroxy_6_Phosphonooxy_Hexyl__Amino__Methyl__Phosphonic_Acid,-5.294
173_alpha_D_glucose_6_phosphate,-5.291
495_N__Phosphonoacetyl__L_Ornithine,-5.29
498_SP4160,-5.269
475_Coenzyme_A_persulfide,-5.267
259__S__4_bromo_3_hydroxy_3_methylbutyl_diphosphate,-5.265
468_PR_104,-5.262
192_Trehalose_6_Phosphate,-5.262
245_1_ACETYL_2_LYSO_SN_GLYCERO_3_PHOSPHOETHANOLAMINE,-5.26
238_Monoisopropylphosphorylserine,-5.253
52_1_Deoxy_6_O_Phosphono_1___Phosphonomethyl_Amino__L_Threo_Hexitol,-5.249
86_L_gulonic_acid_6_phosphate,-5.244
46_Norleucine_Phosphonate,-5.243
53_L_histidinol_phosphate,-5.231
32_2_Deoxy_Glucitol_6_Phosphate,-5.214
55_5_phospho_D_arabinohydroxamic_acid,-5.212
258_4_bromo_3_hydroxy_3_methyl_butyl_diphosphate,-5.185
134_1_Deoxy_Ribofuranose_5__Phosphate,-5.17
85_6_phospho_D_gluconic_acid,-5.153
72_1_6_Di_O_Phosphono_D_Allitol,-5.094
