Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
N-hexanoyl-L-homocysteine,CCCCCC(=O)N[C@@H](CCS)C(=O)O,233.33299999999997,1.456,3.0,3.0,0.0,8.0,15.0,5.0,0.0,66.4,0.8
"(6AR,11AS,11BR)-10-ACETYL-9-HYDROXY-7,7-DIMETHYL-2,6,6A,7,11A,11B-HEXAHYDRO-11H-PYRROLO[1',2':2,3]ISOINDOLO[4,5,6-CD]INDOL-11-ONE",CC(=O)C1=C(O)N2[C@H](C1=O)[C@H]1c3c[nH]c4cccc(c34)C[C@H]1C2(C)C,336.39100000000013,2.8279000000000005,2.0,4.0,5.0,1.0,25.0,5.0,2.0,73.4,0.4
"2-({4-[(5-CHLORO-1H-INDOL-2-YL)SULFONYL]PIPERAZIN-1-YL}CARBONYL)THIENO[3,2-B]PYRIDINE 4-OXIDE",O=C(c1cc2c(ccc[n+]2[O-])s1)N1CCN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,476.96700000000016,2.8161000000000005,1.0,5.0,5.0,3.0,31.0,11.0,4.0,100.41999999999999,0.2
"6-(3,4-DIHYDROXYBENZYL)-3-ETHYL-1-(2,4,6-TRICHLOROPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4(5H)-ONE",CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12,465.7240000000002,4.633400000000004,3.0,6.0,4.0,4.0,30.0,10.0,4.0,104.03,0.15
4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3cccc(I)c3)[nH]2)cc1,485.35,5.147700000000003,1.0,3.0,4.0,4.0,27.0,6.0,4.0,58.64,0.047619047619047616
N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide,NCC[C@H](C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1,447.92600000000016,4.5397000000000025,4.0,4.0,4.0,7.0,32.0,8.0,4.0,112.9,0.125
"N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE",CN(C)Cc1ccc(-c2cccnc2)o1,202.257,2.403200000000001,0.0,3.0,2.0,3.0,15.0,3.0,2.0,29.270000000000003,0.25
"1,2-Dihydroxynaphthalene",Oc1ccc2ccccc2c1O,160.17199999999997,2.251,2.0,2.0,2.0,0.0,12.0,2.0,2.0,40.46,0.0
DECANE-1-THIOL,CCCCCCCCCCS,174.353,4.056900000000004,1.0,1.0,0.0,8.0,11.0,1.0,0.0,0.0,1.0
6-(3-AMINOPHENYL)-N-(TERT-BUTYL)-2-(TRIFLUOROMETHYL)QUINAZOLIN-4-AMINE,CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12,360.38300000000004,5.108200000000004,2.0,4.0,3.0,2.0,26.0,7.0,3.0,63.83,0.2631578947368421
3-phenyl-5-(1H-pyrazol-3-yl)isoxazole,c1ccc(-c2cc(-c3cc[nH]n3)on2)cc1,211.224,2.7317,1.0,3.0,3.0,2.0,16.0,4.0,3.0,54.71,0.0
"PHENYL-5-(1H-PYRAZOL-3-YL)-1,3-THIAZOLE",c1ccc(-c2ncc(-c3cc[nH]n3)s2)cc1,227.29200000000003,3.2002000000000006,1.0,3.0,3.0,2.0,16.0,4.0,3.0,41.57,0.0
Tranilast,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,327.33600000000007,3.0539000000000014,2.0,4.0,2.0,6.0,24.0,6.0,2.0,84.86,0.1111111111111111
"4-{[4-(4-fluoro-3-methylphenyl)-1,3-thiazol-2-yl]amino}-2-hydroxybenzoic acid",Cc1cc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)ccc1F,344.367,4.405020000000003,3.0,5.0,3.0,4.0,24.0,7.0,3.0,82.45,0.058823529411764705
N-METHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE,CNCc1ccc(-c2cccnc2)o1,188.23,2.061,1.0,3.0,2.0,3.0,14.0,3.0,2.0,38.06,0.18181818181818182
"2-(4-(AMINOMETHYL)PIPERIDIN-1-YL)-N-(3_CYCLOHEXYL-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)ACETAMIDE",NCC1CCN(CC(=O)Nc2cccc3c2C(=O)c2c-3n[nH]c2C2CCCCC2)CC1,421.54500000000036,3.2780000000000022,3.0,5.0,5.0,5.0,31.0,7.0,2.0,104.11000000000001,0.5416666666666666
"N-cyclopropyl-N-(trans-4-pyridin-3-ylcyclohexyl)-4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]benzamide",C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@H](c3cccnc3)CC2)cc1)C(F)(F)F,432.48600000000005,5.182400000000005,1.0,3.0,4.0,5.0,31.0,7.0,2.0,53.43,0.5
"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,459.1850000000002,4.969820000000001,0.0,6.0,2.0,4.0,28.0,14.0,2.0,120.42000000000002,0.14285714285714285
(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE,NCc1ccc(-c2cccnc2)o1,174.20299999999997,1.8002999999999998,1.0,3.0,2.0,2.0,13.0,3.0,2.0,52.05,0.1
"1-(3-(2,4-DIMETHYLTHIAZOL-5-YL)-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)-3-(4-METHYLPIPERAZIN-1-YL)UREA",Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,437.5290000000002,2.64534,3.0,7.0,5.0,3.0,31.0,10.0,3.0,106.25,0.3333333333333333
"4,4'-DIPYRIDYL DISULFIDE",c1cc(SSc2ccncc2)ccn1,220.32200000000003,3.2760000000000016,0.0,4.0,2.0,3.0,14.0,4.0,2.0,25.78,0.0
"1-{[(3R)-3-methyl-4-({4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]phenyl}sulfonyl)piperazin-1-yl]methyl}cyclopropanecarboxamide",C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc([C@](C)(O)C(F)(F)F)cc1,449.49500000000006,1.4166999999999998,2.0,5.0,3.0,6.0,30.0,11.0,1.0,103.94000000000001,0.631578947368421
"4-(2-aminoethoxy)-N-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide",CCOc1ccc(OCC)c(NC(=O)c2cc(C)c(OCCN)c(C)c2)c1,372.4650000000002,3.690640000000002,2.0,5.0,2.0,9.0,27.0,6.0,2.0,82.81,0.38095238095238093
"4-(2-aminoethoxy)-N-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide",CCOc1c(Cl)cc(N2CCCCC2)cc1NC(=O)c1cc(C)c(OCCN)c(C)c1,445.99100000000027,4.935640000000003,2.0,5.0,3.0,8.0,31.0,7.0,2.0,76.82,0.4583333333333333
(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE,CC(C)C[C@H](NC(=S)Nc1ccccc1)C(=O)N[C@@H]1CO[C@H](O)C1,351.4720000000001,1.6111999999999997,4.0,4.0,2.0,6.0,24.0,7.0,1.0,82.62,0.5294117647058824
"6-(2-fluorobenzyl)-2,4-dimethyl-4,6-dihydro-5H-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one",Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,327.38400000000007,3.445520000000002,0.0,5.0,4.0,2.0,23.0,6.0,4.0,39.82,0.17647058823529413
"N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE",CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,472.0140000000001,3.7367000000000017,3.0,5.0,5.0,4.0,32.0,9.0,3.0,90.12,0.43478260869565216
