Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL117715,CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1OC,2.4,IC50,8.62,Active
CHEMBL325050,CCCCCCCCc1ccc(CCC(N)CCC(=O)O)cc1,710.0,IC50,6.15,Active
CHEMBL380235,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(OCCC(F)(F)F)c(C#N)c2)s1,7.7,EC50,8.11,Active
CHEMBL379556,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(F)c(C#N)c2)s1,570.0,EC50,6.24,Active
CHEMBL5749028,CC/C(=N\OCCCc1ccccc1)c1ccc(C(=O)N2CC[C@](N)(COP(=O)(O)O)C2)cc1,2530.0,IC50,5.6,Inactive
CHEMBL381872,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(CCC(F)(F)F)cc4)n3)cc2)C1,0.4,IC50,9.4,Active
CHEMBL1085191,CCCCCCCOc1ccc(CC[C@](C)(N)CCc2nnn[nH]2)cc1,960.0,EC50,6.02,Active
CHEMBL5932801,C/C(=N\OCCCc1ccccc1)c1ccc(C(=O)N2CCC[C@@](N)(COP(=O)(O)O)C2)cc1,362.0,IC50,6.44,Active
CHEMBL5937593,C/C(=N\OCCCc1ccccc1)c1ccc(C(=O)N2CCC[C@](N)(COP(=O)(O)O)C2)cc1,899.0,IC50,6.05,Active
CHEMBL5892831,C/C(=N\OCCc1ccccc1)c1ccc([C@H]2CC[C@](N)(COP(=O)(O)O)C2)cc1,49.6,IC50,7.3,Active
CHEMBL5856612,O=C(NC(c1ccccc1)c1nc(-c2ccccc2)no1)c1ccc(Cl)c(Cl)c1,1600.0,IC50,5.8,Inactive
CHEMBL5796228,N#Cc1ccc(C(=O)NC(c2ccc(Cl)cn2)c2ccc(Cl)cc2Br)cc1F,16100.0,IC50,4.79,Inactive
CHEMBL5768905,O=C(N[C@@H](c1ccc(Cl)cc1)c1ncc(Cl)cc1F)c1ccc(-n2cncn2)cc1,5300.0,IC50,5.28,Inactive
CHEMBL5844051,N#Cc1ccc(C(=O)NC(c2ccc(Cl)cc2)c2ncc(Cl)cc2F)cc1F,3100.0,IC50,5.51,Inactive
CHEMBL5822064,Clc1ccc(CNC(c2ccccc2)c2nc(-c3ccccc3)no2)cc1Cl,7900.0,IC50,5.1,Inactive
CHEMBL3358915,CCCc1ccc(COc2ccc3[nH]c4c(c3c2)CCC4CC(=O)O)cc1C(F)(F)F,0.49,EC50,9.31,Active
CHEMBL3358907,COc1ccc(COc2ccc3[nH]c4c(c3c2)CCC4CC(=O)O)cc1C#N,120.0,EC50,6.92,Active
CHEMBL1087282,O=C(Nc1ccc2[nH]ncc2c1)c1cc(NC2CCCCC2)ncn1,2710.0,EC50,5.57,Inactive
CHEMBL3402526,CCCCc1nnc(C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)n1C,3230.0,EC50,5.49,Inactive
CHEMBL3402530,Cc1nnc(C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)n1C(C)C,6340.0,EC50,5.2,Inactive
CHEMBL3402541,Cc1cnc(C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)n1C,1610.0,EC50,5.79,Inactive
CHEMBL544665,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,3000.0,EC50,5.52,Inactive
CHEMBL1950567,O=C(O)CCC(=O)Nc1ccc(-c2nc3ccc(C4(c5ccccc5)CC4)nc3s2)c(F)c1,19.0,EC50,7.72,Active
CHEMBL1950572,N[C@H](CCc1ccc(-c2nc3ccc(C4(c5ccccc5)CC4)nc3s2)c(F)c1)C(=O)O,0.3,EC50,9.52,Active
CHEMBL113344,CCCCCCCCc1ccc(CCC(N)CC(O)P(=O)(O)O)cc1,0.16,IC50,9.8,Active
CHEMBL359762,CCCCCCCCCCCCCCNC1CCCCC1CP(=O)(O)O,260.0,IC50,6.58,Active
