Ligand,Best_Affinity
312_Pelcitoclax.pdbqt,22.964
313_Alpha_Ribazole_5__Phosphate.pdbqt,-7.228
314_2_Amino_3__Diethoxy_Phosphoryloxy__Propionic_Acid.pdbqt,-5.013
316_4__6_CHLORO_2_4_DIOXO_1_2_3_4_TETRAHYDROPYRIMIDIN_5_YL__BUTYL_PHOSPHATE.pdbqt,-6.29
317_Fosigotifator.pdbqt,-8.784
318_D__3_hydroxy_2_methyl_5_phosphonooxymethyl_pyridin_4_ylmethyl__N_O_cycloserylamide.pdbqt,-6.822
319_2__5__3__7_PROPYL_3_TRIFLUOROMETHYLBENZO_D_ISOXAZOL_6_YLOXY_PROPOXY_INDOL_1_YL_ETHANOIC_ACID.pdbqt,-9.448
320_Fobrepodacin.pdbqt,-4.986
321_Zidovudine_diphosphate.pdbqt,-7.552
322_Fosaprepitant.pdbqt,-9.031
323_LGD2941.pdbqt,-8.468
324_4____2S__1___6___1_Amino_1_oxo_3_sulfanylpropan_2_yl_amino__6_oxohexyl_amino__3__4__difluoro_phosphono_methyl_phenyl__1_oxopropan_2_yl_amino__3___2__4__difluoro_phosphono_methyl_phenyl_acetyl_amino__4_oxobutanoic_acid.pdbqt,-4.829
325_PHENYL_1__N_SUCCINYLAMINO_PENTYL_PHOSPHONATE.pdbqt,-7.403
326_Rodatristat_ethyl.pdbqt,-9.571
327_Opelconazole.pdbqt,-2.675
328_ISOPENTENYL_PYROPHOSPHATE.pdbqt,-5.651
329_N___2____1__4_CARBOXYBUTANOYL_AMINO__2_PHENYLETHYL__HYDROXYPHOSPHINYL_OXY_ACETYL__2_PHENYLETHYLAMINE.pdbqt,-8.879
331_Fosdagrocorat.pdbqt,-7.469
332_Rezvilutamide.pdbqt,-8.125
333_Cannabinor.pdbqt,-7.345
334_Elacestrant.pdbqt,-7.816
335_5_Mercaptoethanol_2_decenoyl_coenzyme_A.pdbqt,-1.698
336_Thymidine_monophosphate.pdbqt,-6.699
337_Phosphonotyrosine.pdbqt,-6.586
339_Malonyl_CoA.pdbqt,-5.498
340_N_PYRIDOXYL_D_GLUTAMIC_ACID_5__MONOPHOSPHATE.pdbqt,-6.51
341_N_Methyl_Pyridoxal_5__Phosphate.pdbqt,-5.574
342_TMP.pdbqt,-6.811
344_Trifluoroacetonyl_coenzyme_A.pdbqt,-6.01
345_Amibegron.pdbqt,-8.53
346_Glycyl_L_a_Aminopimelyl_E__D_2_Aminoethyl_Phosphonate.pdbqt,-6.229
347_Fosciclopirox.pdbqt,-8.021
348_Vamotinib.pdbqt,-10.989
349_Almorexant.pdbqt,-7.894
351_Navitoclax.pdbqt,-0.47
352_Seladelpar.pdbqt,-8.53
354_Sitravatinib.pdbqt,-0.156
355_Ulapualide_A.pdbqt,18.102
356_R906289.pdbqt,-9.021
357_Asciminib.pdbqt,-9.768
358_Uridine_5__Diphosphate_N_Acetylmuramoyl_L_Alanine_D_Glutamate.pdbqt,-4.071
359_Bedoradrine.pdbqt,-9.153
361_Abequolixron.pdbqt,-7.4
362_N_PYRIDOXYL_2_METHYL_L_GLUTAMIC_ACID_5__MONOPHOSPHATE.pdbqt,-6.328
363_BX_528.pdbqt,-7.376
364_2_KETO_6_PHOSPHATE_D_GLUCONIC_ACID__ALPHA_FURANOSE_FORM.pdbqt,-5.393
365_3_thiaoctanoyl_CoA.pdbqt,-2.425
366_2__deoxy_N__naphthalen_1_ylmethyl_guanosine_5___dihydrogen_phosphate_.pdbqt,-8.88
367_Deoxyuridine_monophosphate.pdbqt,-6.799
368_Saralasin.pdbqt,1.223
369_Succinyl_Coenzyme_A.pdbqt,-6.795
370_CM_4307.pdbqt,-10.5
371_Evacetrapib.pdbqt,-4.92
372_AK106_001616.pdbqt,-6.395
373_N_2__carbamimidoyl_N__2__4__3__4___5_carboxyfuran_2_yl_methoxy__2_3_dichlorophenyl__1_methyl_1H_pyrazol_5_yl_piperidin_1_yl__2_oxoethyl__D_leucinamide.pdbqt,-8.12
374_4__6____4_METHYLCYCLOHEXYL_AMINO_METHYL__1_4_DIHYDROINDENO_1_2_C_PYRAZOL_3_YL_BENZOIC_ACID.pdbqt,-11.268
375_PUROMYCIN_AMINONUCLEOSIDE_5__MONOPHOSPHATE.pdbqt,-6.609
377_6_O_Phosphoryl_Inosine_Monophosphate.pdbqt,-6.766
378_GLPG_1205.pdbqt,-9.375
379_Elagolix.pdbqt,-5.7
380_2__METHYL__5_GERANYL_4_METHYL_PENT_3_ENYL__AMINO__ETHYL_DIPHOSPHATE.pdbqt,-7.68
381_2_MERCAPTO_N__1_2_3_10_TETRAMETHOXY_9_OXO_5_6_7_9_TETRAHYDRO_BENZO_A_HEPTALEN_7_YL_ACETAMIDE.pdbqt,-2.07
383_S__2___N__2_HYDROXY_4___HYDROXY_OXIDO_PHOSPHINO_OXY__3_3_DIMETHYLBUTANOYL__BETA_ALANYL_AMINO_ETHYL__HEXANETHIOATE.pdbqt,-6.468
384_Dimethylallyl_S_Thiolodiphosphate.pdbqt,-5.731
385_6_Chloropurine_Riboside__5__Monophosphate.pdbqt,-7.019
386_5__1__3_4_Dimethoxy_Benzoyl__1_2_3_4_Tetrahydro_Quinolin_6_Yl__6_Methyl_3_6_Dihydro__1_3_4_Thiadiazin_2_One.pdbqt,-9.407
387_4_CDP_2_C_methyl_D_erythritol_2_phosphate.pdbqt,-7.107
388_Flunoxaprofen.pdbqt,-8.741
389_1__5_phospho_D_ribosyl__ATP.pdbqt,-7.441
391_1__CYCLOHEXYLAMINO__3__6_METHYL_3_4_DIHYDRO_1H_CARBAZOL_9_2H__YL_PROPAN_2_OL.pdbqt,-8.221
392_Granotapide.pdbqt,-6.996
393_Orvepitant.pdbqt,-6.545
394__1R_2R_3S_4R_6S__3_4_6_Trihydroxy_5____S__hydroxy_3_hydroxy_2_oxopropoxy_phosphoryl_oxy__1_2_cyclohexanediyl_bis_dihydrogen__phosphate__.pdbqt,-5.357
395_Pyridoxal_5__Phosphate_N_Oxide.pdbqt,-5.981
396_Coenzyme_F420.pdbqt,-6.14
397_Crinecerfont.pdbqt,-8.06
398_S_4_Nitrobutyryl_CoA.pdbqt,-4.403
399_Torcetrapib.pdbqt,-4.862
400_Nitromethyldethia_coenzyme_A.pdbqt,-5.666
401_Tenivastatin.pdbqt,-7.475
402_Quinapril.pdbqt,-8.17
403_CTT_1057.pdbqt,-6.202
404_Leukotriene_C4.pdbqt,-7.417
405_5_fluoro_2__deoxyuridine_5__monophosphate.pdbqt,-6.562
406_Mono__3_4_Dihydroxy_5__5_Methyl_Benzoimidazol_1_Yl__Tetrahydor_Furan_2_Ylmethyl__Ester.pdbqt,-7.046
407_Laropiprant.pdbqt,-6.499
408_Teicoplanin.pdbqt,1198.64
